featurecla,scalerank,min_zoom,vertex_index,vertex_part,vertex_part_ring,vertex_part_index,distance,angle,long,lat
Land,"0",0.0,"0","0","0","0",0.00000000000000,138.22849307382626,-90.547,69.498
Land,"0",0.0,"1","0","0","1",1.02259245047667,119.93022606491736,-90.552,68.475
Land,"0",0.0,"2","0","0","2",2.57182142880441,88.95539759759104,-89.215,69.259
Land,"0",0.0,"3","0","0","3",3.92955886334226,160.09083352945214,-88.020,68.615
Land,"0",0.0,"4","0","0","4",4.72879544359032,163.38997971538484,-88.318,67.873
Land,"0",0.0,"5","0","0","5",5.90826809625483,90.09976687195864,-87.350,67.199
Land,"0",0.0,"6","0","0","6",7.17805459573437,47.75661292359144,-86.306,67.922
Land,"0",0.0,"7","0","0","7",8.30804864717770,21.53047374329707,-85.577,68.784
Land,"0",0.0,"8","0","0","8",9.40700541534647,47.96881616649474,-85.522,69.882
Land,"0",0.0,"9","0","0","9",10.83021083014514,94.38503300022762,-84.101,69.805
Land,"0",0.0,"10","0","0","10",12.31578863010153,102.98785458439409,-82.622,69.658
Land,"0",0.0,"11","0","0","11",13.74668626971092,141.68919606177224,-81.280,69.162
Land,"0",0.0,"12","0","0","12",14.24671987442537,203.73117307412713,-81.220,68.666
Land,"0",0.0,"13","0","0","13",15.16212143031864,180.78948498956180,-81.964,68.133
Land,"0",0.0,"14","0","0","14",16.04728053426641,160.92976979182319,-81.259,67.597
Land,"0",0.0,"15","0","0","15",16.55002655314669,222.50169571950121,-81.386,67.111
Land,"0",0.0,"16","0","0","16",18.62913728953449,257.00776056354152,-83.344,66.412
Land,"0",0.0,"17","0","0","17",20.02860615961571,274.94808784427954,-84.735,66.257
Land,"0",0.0,"18","0","0","18",21.10551306130918,248.47037739512720,-85.769,66.558
Land,"0",0.0,"19","0","0","19",21.68942406256829,219.76437892869299,-86.068,66.056
Land,"0",0.0,"20","0","0","20",22.96996771419269,221.26350143775201,-87.031,65.213
Land,"0",0.0,"21","0","0","21",23.49575473736241,226.72574229179665,-87.323,64.776
Land,"0",0.0,"22","0","0","22",24.83841057438691,253.54257714053256,-88.483,64.099
Land,"0",0.0,"23","0","0","23",26.27146855034374,254.59821052542401,-89.914,64.033
Land,"0",0.0,"24","0","0","24",27.16691968762805,213.82703233185231,-90.704,63.610
Land,"0",0.0,"25","0","0","25",27.82022947683896,224.82859763080123,-90.770,62.960
Land,"0",0.0,"26","0","0","26",28.99034270948897,250.16963435528913,-91.933,62.835
Land,"0",0.0,"27","0","0","27",30.45793166191432,230.20406636665524,-93.157,62.025
Land,"0",0.0,"28","0","0","28",32.02131709076124,215.05692219040128,-94.242,60.899
Land,"0",0.0,"29","0","0","29",32.89990432755018,194.45623898031161,-94.629,60.110
Land,"0",0.0,"30","0","0","30",34.06259411125717,139.59962969053780,-94.685,58.949
Land,"0",0.0,"31","0","0","31",35.54151393939110,125.39358701913029,-93.215,58.782
Land,"0",0.0,"32","0","0","32",36.58062087392768,151.33102094580795,-92.765,57.846
Land,"0",0.0,"33","0","0","33",37.47175706814966,115.15599719154920,-92.297,57.087
Land,"0",0.0,"34","0","0","34",38.88493661158214,92.53957174587327,-90.898,57.285
Land,"0",0.0,"35","0","0","35",40.79294387091388,106.96554945031507,-89.039,56.852
Land,"0",0.0,"36","0","0","36",41.86242666765772,117.12760816581083,-88.040,56.472
Land,"0",0.0,"37","0","0","37",42.71997870389151,112.91507191173486,-87.324,55.999
Land,"0",0.0,"38","0","0","38",44.00283681368729,107.03449882018764,-86.071,55.724
Land,"0",0.0,"39","0","0","39",45.14294341471876,101.84295985903204,-85.012,55.303
Land,"0",0.0,"40","0","0","40",46.79526084264706,93.53896018695184,-83.360,55.245
Land,"0",0.0,"41","0","0","41",47.88718494642454,142.87873898494834,-82.273,55.148
Land,"0",0.0,"42","0","0","42",48.76849128462492,176.74054903988520,-82.436,54.282
Land,"0",0.0,"43","0","0","43",49.82075536659872,154.94372963788913,-82.125,53.277
Land,"0",0.0,"44","0","0","44",51.15388286579088,134.81684269825325,-81.401,52.158
Land,"0",0.0,"45","0","0","45",52.91878847262350,94.81645372415574,-79.913,51.208
Land,"0",0.0,"46","0","0","46",53.75461932586946,47.42243478104504,-79.143,51.534
Land,"0",0.0,"47","0","0","47",54.91649521313250,4.72851548914236,-78.602,52.562
Land,"0",0.0,"48","0","0","48",56.58001551020130,324.21322799519157,-79.124,54.141
Land,"0",0.0,"49","0","0","49",57.46007205633040,10.20206546289811,-79.830,54.668
Land,"0",0.0,"50","0","0","50",59.12817844354998,65.96748024251202,-78.229,55.136
Land,"0",0.0,"51","0","0","51",60.46062975441282,48.37657488957942,-77.096,55.838
Land,"0",0.0,"52","0","0","52",61.35093051304802,15.76339790971944,-76.541,56.534
Land,"0",0.0,"53","0","0","53",62.02430437562470,337.19410605021915,-76.623,57.203
Land,"0",0.0,"54","0","0","54",63.11181104728234,311.56948472497822,-77.302,58.052
Land,"0",0.0,"55","0","0","55",64.54076190205606,355.08752083031249,-78.517,58.805
Land,"0",0.0,"56","0","0","56",66.11915843273678,11.33700547805280,-77.337,59.853
Land,"0",0.0,"57","0","0","57",67.12386020690037,341.10196964473954,-77.773,60.758
Land,"0",0.0,"58","0","0","58",68.72102511199417,29.79341007299299,-78.107,62.320
Land,"0",0.0,"59","0","0","59",69.45450317634202,85.33803294973360,-77.411,62.550
Land,"0",0.0,"60","0","0","60",71.19029803719997,97.21378101939244,-75.696,62.279
Land,"0",0.0,"61","0","0","61",72.22291812240840,83.90455386301434,-74.668,62.181
Land,"0",0.0,"62","0","0","62",73.09192174397364,91.19275225268483,-73.840,62.444
Land,"0",0.0,"63","0","0","63",74.08302669299380,112.59986127969202,-72.909,62.105
Land,"0",0.0,"64","0","0","64",75.44418228915590,128.60726232732875,-71.677,61.525
Land,"0",0.0,"65","0","0","65",75.93684331800594,117.21523773792639,-71.374,61.137
Land,"0",0.0,"66","0","0","66",77.72176860945672,137.23240784862659,-69.590,61.062
Land,"0",0.0,"67","0","0","67",78.56251067493179,173.65268331287024,-69.620,60.221
Land,"0",0.0,"68","0","0","68",79.86952266980344,132.48522698531477,-69.288,58.957
Land,"0",0.0,"69","0","0","69",80.79617164247868,114.40221399527432,-68.375,58.801
Land,"0",0.0,"70","0","0","70",81.73005815252328,99.06173884960567,-67.650,58.212
Land,"0",0.0,"71","0","0","71",83.28083811494233,54.97265157705594,-66.202,58.767
Land,"0",0.0,"72","0","0","72",84.74121589214128,47.91338495798458,-65.245,59.871
Land,"0",0.0,"73","0","0","73",85.54992872978696,96.90591113261736,-64.583,60.336
Land,"0",0.0,"74","0","0","74",86.73483438784632,136.65674295795253,-63.805,59.443
Land,"0",0.0,"75","0","0","75",88.55776943876339,135.86646162433908,-62.502,58.167
Land,"0",0.0,"76","0","0","76",90.18933618048236,174.97789938191337,-61.396,56.968
Land,"0",0.0,"77","0","0","77",90.93507950519322,162.80304738289087,-61.799,56.339
Land,"0",0.0,"78","0","0","78",92.37978160721610,117.70992956378724,-60.469,55.776
Land,"0",0.0,"79","0","0","79",93.44494743604190,110.82747860645377,-59.570,55.204
Land,"0",0.0,"80","0","0","80",95.06026512451081,107.81785035130255,-57.975,54.945
Land,"0",0.0,"81","0","0","81",95.77705375940546,135.66473397444526,-57.333,54.627
Land,"0",0.0,"82","0","0","82",96.71150434173624,127.28979657550208,-56.937,53.780
Land,"0",0.0,"83","0","0","83",97.50154597172610,116.42546137238196,-56.158,53.648
Land,"0",0.0,"84","0","0","84",98.05252550294774,154.73049519681823,-55.756,53.271
Land,"0",0.0,"85","0","0","85",99.17867319438631,209.44882417570241,-55.683,52.147
Land,"0",0.0,"86","0","0","86",99.99618293939962,243.27612684841640,-56.409,51.771
Land,"0",0.0,"87","0","0","87",100.79513309274748,250.88360319760685,-57.127,51.420
Land,"0",0.0,"88","0","0","88",102.48091187698890,247.34743381239460,-58.775,51.064
Land,"0",0.0,"89","0","0","89",103.98355516101022,250.68890965821697,-60.033,50.243
Land,"0",0.0,"90","0","0","90",105.68182998261371,270.06732387374223,-61.724,50.081
Land,"0",0.0,"91","0","0","91",107.83108613060412,272.94873616927822,-63.862,50.291
Land,"0",0.0,"92","0","0","92",109.33189686870865,268.22080346192581,-65.363,50.298
Land,"0",0.0,"93","0","0","93",110.36992478745586,247.78887103224832,-66.399,50.229
Land,"0",0.0,"94","0","0","94",111.47256416449700,240.12423427658953,-67.236,49.511
Land,"0",0.0,"95","0","0","95",112.82212249556366,239.14931091700475,-68.511,49.068
Land,"0",0.0,"96","0","0","96",114.77986597450889,229.36351458232431,-69.954,47.745
Land,"0",0.0,"97","0","0","97",116.25524410240874,155.15631002466063,-71.104,46.822
Land,"0",0.0,"98","0","0","98",117.12030731145904,64.87112214610492,-70.255,46.986
Land,"0",0.0,"99","0","0","99",119.19472629286902,59.51806956131244,-68.650,48.300
Land,"0",0.0,"100","0","0","100",121.45167283654732,77.26247357232678,-66.552,49.133
Land,"0",0.0,"101","0","0","101",122.95121287272900,102.58584664648365,-65.056,49.233
Land,"0",0.0,"102","0","0","102",123.96317913905638,176.78611134378158,-64.171,48.742
Land,"0",0.0,"103","0","0","103",125.12206090926529,199.09883355250307,-65.115,48.071
Land,"0",0.0,"104","0","0","104",126.24551825360680,160.11026136053903,-64.799,46.993
