featurecla,scalerank,min_zoom,vertex_index,vertex_part,vertex_part_ring,vertex_part_index,distance,angle,long,lat
Land,"0",0.0,"0","0","0","0",0.00000000000000,122.61717403926345,106.970,76.974
Land,"0",0.0,"1","0","0","1",0.56306924758827,113.23037692544943,107.240,76.480
Land,"0",0.0,"2","0","0","2",1.50870260257356,82.67754329596238,108.154,76.723
Land,"0",0.0,"3","0","0","3",4.43207244955680,96.23483353126097,111.077,76.710
Land,"0",0.0,"4","0","0","4",6.73845731173497,108.61157976389114,113.331,76.222
Land,"0",0.0,"5","0","0","5",7.62433835258464,160.29378083349110,114.134,75.848
Land,"0",0.0,"6","0","0","6",8.20063779568920,230.29802535219045,113.885,75.328
Land,"0",0.0,"7","0","0","7",9.34574610589951,256.54583526713679,112.779,75.032
Land,"0",0.0,"8","0","0","8",12.03175116186271,253.26339802570445,110.151,74.477
Land,"0",0.0,"9","0","0","9",12.83939353658114,172.44950554555058,109.400,74.180
Land,"0",0.0,"10","0","0","10",14.08726367530644,98.06227499043858,110.640,74.040
Land,"0",0.0,"11","0","0","11",15.58788709105634,88.90579377033038,112.119,73.788
Land,"0",0.0,"12","0","0","12",16.50770431915168,109.82269565851394,113.019,73.977
Land,"0",0.0,"13","0","0","13",17.32765855901106,100.45244618984135,113.530,73.335
Land,"0",0.0,"14","0","0","14",17.83791419556103,71.87248275409561,113.969,73.595
Land,"0",0.0,"15","0","0","15",19.44470235942300,88.65200914170556,115.568,73.753
Land,"0",0.0,"16","0","0","16",22.65738875712848,122.70649651260996,118.776,73.588
Land,"0",0.0,"17","0","0","17",23.18470904268614,122.25179952446302,119.020,73.120
Land,"0",0.0,"18","0","0","18",27.36795947944276,48.16030619566908,123.201,72.971
Land,"0",0.0,"19","0","0","19",28.13389151317305,49.49784325901256,123.258,73.735
Land,"0",0.0,"20","0","0","20",30.26334691251072,92.26040803635556,125.380,73.560
Land,"0",0.0,"21","0","0","21",31.85973045988064,98.93748706110215,126.977,73.565
Land,"0",0.0,"22","0","0","22",33.55829292232692,126.16938539319018,128.591,73.039
Land,"0",0.0,"23","0","0","23",34.34669385447212,189.49540900562937,129.052,72.399
Land,"0",0.0,"24","0","0","24",35.07141125909541,178.39472574567375,128.460,71.980
Land,"0",0.0,"25","0","0","25",36.55363652216494,113.27306869971731,129.716,71.193
Land,"0",0.0,"26","0","0","26",38.17777311781088,73.53822691822802,131.289,70.787
Land,"0",0.0,"27","0","0","27",39.60312024796008,74.13170042766129,132.253,71.836
Land,"0",0.0,"28","0","0","28",41.26924089680726,93.35045860350633,133.858,71.386
Land,"0",0.0,"29","0","0","29",42.99465304634193,90.03297903538250,135.562,71.655
Land,"0",0.0,"30","0","0","30",44.95454303527088,84.09233755352632,137.498,71.348
Land,"0",0.0,"31","0","0","31",45.74256621448412,82.02749751081880,138.234,71.628
Land,"0",0.0,"32","0","0","32",47.38430550991676,28.51398911660994,139.870,71.488
Land,"0",0.0,"33","0","0","33",48.56040048958460,16.98202724732020,139.148,72.416
Land,"0",0.0,"34","0","0","34",49.94983778242830,82.97370957126918,140.468,72.849
Land,"0",0.0,"35","0","0","35",59.00519794281252,109.50093651469874,149.500,72.200
Land,"0",0.0,"36","0","0","36",60.04291504337382,115.58250812414263,150.351,71.607
Land,"0",0.0,"37","0","0","37",62.76974863914698,96.79648066732175,152.969,70.842
Land,"0",0.0,"38","0","0","38",66.81220397615643,91.02439030045213,157.007,71.031
Land,"0",0.0,"39","0","0","39",68.81004010412065,105.57087756351751,158.998,70.867
Land,"0",0.0,"40","0","0","40",69.73943654564330,152.92774903568176,159.830,70.453
