featurecla,scalerank,min_zoom,vertex_index,vertex_part,vertex_part_ring,vertex_part_index,distance,angle,long,lat
Land,"0",0.0,"0","0","0","0",0.00000000000000,170.44748317711429,143.562,-13.764
Land,"0",0.0,"1","0","0","1",0.86341814444945,107.44518209208150,143.922,-14.548
Land,"0",0.0,"2","0","0","2",1.60766258159918,100.75611027331124,144.564,-14.171
Land,"0",0.0,"3","0","0","3",2.14511676134197,135.55035977258996,144.895,-14.594
Land,"0",0.0,"4","0","0","4",2.76376691538086,161.09582468441849,145.375,-14.985
Land,"0",0.0,"5","0","0","5",3.21874576200180,179.54128608119527,145.272,-15.428
Land,"0",0.0,"6","0","0","6",4.10233686515096,164.56163083371280,145.485,-16.286
Land,"0",0.0,"7","0","0","7",4.62414318104615,139.46814971847169,145.637,-16.785
Land,"0",0.0,"8","0","0","8",4.90400909851995,139.11475060707693,145.889,-16.907
Land,"0",0.0,"9","0","0","9",5.80079265547390,176.47128926376311,146.160,-17.762
Land,"0",0.0,"10","0","0","10",6.32814026351737,172.51850071016855,146.064,-18.280
Land,"0",0.0,"11","0","0","11",7.07967645114670,135.10931921389817,146.387,-18.958
Land,"0",0.0,"12","0","0","12",8.28265125271827,119.83299024828165,147.471,-19.481
Land,"0",0.0,"13","0","0","13",9.13412142990454,123.45188905979344,148.178,-19.956
Land,"0",0.0,"14","0","0","14",9.93377692656702,165.68544768601708,148.848,-20.391
Land,"0",0.0,"15","0","0","15",10.20916189003631,173.01153680871141,148.717,-20.633
Land,"0",0.0,"16","0","0","16",11.05787485381351,148.92999443108278,149.289,-21.261
Land,"0",0.0,"17","0","0","17",12.20764994735063,110.69536192181737,149.678,-22.343
Land,"0",0.0,"18","0","0","18",12.66319107271142,99.02970319118074,150.077,-22.123
Land,"0",0.0,"19","0","0","19",13.25671936295661,97.35938347028126,150.483,-22.556
Land,"0",0.0,"20","0","0","20",13.54538952445365,114.29363522349296,150.727,-22.402
Land,"0",0.0,"21","0","0","21",14.61913406535472,150.81776534521376,150.900,-23.462
Land,"0",0.0,"22","0","0","22",15.55752706383108,130.14172414472989,151.609,-24.076
Land,"0",0.0,"23","0","0","23",16.15858955421994,132.71052446241242,152.074,-24.458
Land,"0",0.0,"24","0","0","24",17.28396268723142,148.36841356009202,152.855,-25.268
Land,"0",0.0,"25","0","0","25",18.13533198451975,169.07034961399148,153.136,-26.071
Land,"0",0.0,"26","0","0","26",18.70606090028621,181.88736751087592,153.162,-26.641
Land,"0",0.0,"27","0","0","27",19.32887957474290,168.54004492641218,153.093,-27.260
Land,"0",0.0,"28","0","0","28",20.30315565114675,167.21205763711518,153.569,-28.110
Land,"0",0.0,"29","0","0","29",21.19002316755027,192.09645733030683,153.512,-28.995
Land,"0",0.0,"30","0","0","30",21.68440905386040,198.65792960250823,153.339,-29.458
Land,"0",0.0,"31","0","0","31",22.61637159442296,187.39884509024589,153.069,-30.350
Land,"0",0.0,"32","0","0","32",23.19013465679881,186.70485814980557,153.090,-30.924
Land,"0",0.0,"33","0","0","33",23.93378861955855,200.66957907062465,152.892,-31.640
Land,"0",0.0,"34","0","0","34",24.94486839280933,221.17215585063539,152.450,-32.550
Land,"0",0.0,"35","0","0","35",25.83387070994666,220.84265602897287,151.709,-33.041
Land,"0",0.0,"36","0","0","36",26.69029503631934,209.61769341071368,151.344,-33.816
Land,"0",0.0,"37","0","0","37",27.28656282870285,206.47633658325421,151.011,-34.310
Land,"0",0.0,"38","0","0","38",28.19914360375007,208.35213387499721,150.714,-35.173
Land,"0",0.0,"39","0","0","39",28.82950510580148,208.21523129167011,150.328,-35.672
Land,"0",0.0,"40","0","0","40",29.61944521625148,194.64712416814211,150.075,-36.420
Land,"0",0.0,"41","0","0","41",30.32028301049470,180.71181682099049,149.946,-37.109
Land,"0",0.0,"42","0","0","42",30.64060295570325,204.79913320446215,149.997,-37.425
Land,"0",0.0,"43","0","0","43",31.31104356622477,253.46345145504989,149.424,-37.773
Land,"0",0.0,"44","0","0","44",32.43089450482610,257.08836420099760,148.305,-37.809
Land,"0",0.0,"45","0","0","45",33.44082156565768,237.95873309955451,147.382,-38.219
Land,"0",0.0,"46","0","0","46",34.04186592878787,232.24453277004187,146.922,-38.607
Land,"0",0.0,"47","0","0","47",34.78300848478570,266.34783101006371,146.318,-39.036
Land,"0",0.0,"48","0","0","48",35.72182945399092,292.07038866256454,145.490,-38.594
